======================================================================
LEXICO | usuario=Jlchong3 | fecha-hora=02-11-2025-22h07
======================================================================
Total de tokens reconocidos: 141

 LÍNEA    POS                  TIPO  VALOR
----------------------------------------------------------------------
    63      0                IMPORT  import
    63      7            IDENTIFIER  Foundation
    65     19                  FUNC  func
    65     24            IDENTIFIER  ejemploRangos
    65     37                LPAREN  (
    65     38                RPAREN  )
    65     40                LBRACE  {
    66     46                   FOR  for
    66     50            IDENTIFIER  i
    66     52                    IN  in
    66     55                NUMBER  0.0
    66     56          CLOSED_RANGE  ...
    66     59                NUMBER  3.0
    66     61                LBRACE  {
    67     71            IDENTIFIER  print
    67     76                LPAREN  (
    67     77                STRING  "Cerrado:"
    67     87                 COMMA  ,
    67     89            IDENTIFIER  i
    67     90                RPAREN  )
    68     96                RBRACE  }
    69    102                   FOR  for
    69    106            IDENTIFIER  j
    69    108                    IN  in
    69    111                NUMBER  0.0
    69    112       HALF_OPEN_RANGE  ..<
    69    115                NUMBER  3.0
    69    117                LBRACE  {
    70    127            IDENTIFIER  print
    70    132                LPAREN  (
    70    133                STRING  "Medio abierto:"
    70    149                 COMMA  ,
    70    151            IDENTIFIER  j
    70    152                RPAREN  )
    71    158                RBRACE  }
    72    160                RBRACE  }
    74    163                  FUNC  func
    74    168            IDENTIFIER  evaluarNumero
    74    181                LPAREN  (
    74    182            IDENTIFIER  _
    74    184            IDENTIFIER  n
    74    185                 COLON  :
    74    187            IDENTIFIER  Int
    74    190                RPAREN  )
    74    192                 ARROW  ->
    74    195            IDENTIFIER  String
    74    202                LBRACE  {
    75    208                    IF  if
    75    211                  TRUE  true
    75    216                LBRACE  {
    76    226                RETURN  return
    76    233                STRING  "Negativo"
    77    248                RBRACE  }
    77    250                  ELSE  else
    77    255                    IF  if
    77    258                  TRUE  true
    77    263                LBRACE  {
    78    273                RETURN  return
    78    280                STRING  "Cero"
    79    291                RBRACE  }
    79    293                  ELSE  else
    79    298                LBRACE  {
    80    308                RETURN  return
    80    315                STRING  "Positivo"
    81    330                RBRACE  }
    82    332                RBRACE  }
    84    335                  FUNC  func
    84    340            IDENTIFIER  ejemploSwitch
    84    353                LPAREN  (
    84    354            IDENTIFIER  valor
    84    359                 COLON  :
    84    361            IDENTIFIER  Int
    84    364                RPAREN  )
    84    366                LBRACE  {
    85    372                SWITCH  switch
    85    379            IDENTIFIER  valor
    85    385                LBRACE  {
    86    391                  CASE  case
    86    396                NUMBER  0.0
    86    397                 COLON  :
    87    407            IDENTIFIER  print
    87    412                LPAREN  (
    87    413                STRING  "Cero"
    87    419                RPAREN  )
    88    425                  CASE  case
    88    430                NUMBER  1.0
    88    431                 COLON  :
    89    441            IDENTIFIER  print
    89    446                LPAREN  (
    89    447                STRING  "Uno"
    89    452                RPAREN  )
    90    458               DEFAULT  default
    90    465                 COLON  :
    91    475            IDENTIFIER  print
    91    480                LPAREN  (
    91    481                STRING  "Otro valor"
    91    493                RPAREN  )
    92    499                RBRACE  }
    93    501                RBRACE  }
    95    504                  FUNC  func
    95    509            IDENTIFIER  pruebaGuard
    95    520                LPAREN  (
    95    521            IDENTIFIER  _
    95    523            IDENTIFIER  valor
    95    528                 COLON  :
    95    530            IDENTIFIER  Int
    95    533              QUESTION  ?
    95    534                RPAREN  )
    95    536                LBRACE  {
    96    542                 GUARD  guard
    96    548                   LET  let
    96    552            IDENTIFIER  v
    96    554                 EQUAL  =
    96    556            IDENTIFIER  valor
    96    562                  ELSE  else
    96    567                LBRACE  {
    97    577            IDENTIFIER  print
    97    582                LPAREN  (
    97    583                STRING  "Valor nulo"
    97    595                RPAREN  )
    98    605                RETURN  return
    99    616                RBRACE  }
   100    622            IDENTIFIER  print
   100    627                LPAREN  (
   100    628                STRING  "Valor válido:"
   100    643                 COMMA  ,
   100    645            IDENTIFIER  v
   100    646                RPAREN  )
   101    648                RBRACE  }
   103    651                  FUNC  func
   103    656            IDENTIFIER  probarAsync
   103    667                LPAREN  (
   103    668                RPAREN  )
   103    670                 ASYNC  async
   103    676                LBRACE  {
   104    682                 AWAIT  await
   104    688            IDENTIFIER  print
   104    693                LPAREN  (
   104    694                STRING  "Ejemplo async/await"
   104    715                RPAREN  )
   105    717                RBRACE  }
======================================================================
